Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
पानिक,paanika,masculine,"पानिकः [pānikḥ], A vendor of spirituous liquors, a distiller.","शराब-बिक्रेता, कलाल"
अरति,arati,adjective,"अरति [arati], a.",असंतुष्ट
धार्तराष्ट्र,dhaartaraashtra,masculine,"धार्तराष्ट्रः [dhārtarāṣṭrḥ], [धृतराष्ट्रस्यापत्यं पुमान्-अण्]",धृतराष्ट्र का पुत्र
मुस्,mus,adjective,"मुस् [mus], 4 P. (मुस्यति) To cleave, divide, break into pieces.","फाड़ना, विभक्त करना, टुकड़े-टुकड़े करना"
वर्त,varta,masculine,"वर्तः [vartḥ], (Usually at the end of comp.) Living, livelihood; as in कल्यवर्त q. v. -Comp. -जन्मन् m. a cloud.-तीक्ष्णम्, -लोहम् bell-metal, a kind of brass.","जीविका, वृत्ति"
इव,iva,indeclinable,"इव [iva], ind.","की तरह, जैसा कि"
उद्धूनन,uddhuunana,masculine,"उद्धूननम् [uddhūnanam], 1 Throwing upwards, raising.","ऊपर फेंकना, उठाना"
गुद्,gud,unknown,"गुद् [gud], 1 Ā. (गोदते, गुदित) To play.","क्रीड़ा करना, खेलना"
निकृ,nikri,unknown,"निकृ [nikṛ], 8 U. Ved.","क्षति पहुँचाना, बुरा करना"
टङ्किका,tangkikaa,feminine,"टङ्किका [ṭaṅkikā], A hatchet; न मौक्तिकच्छिद्रकरी शलाका प्रगल्भते कर्मणि टङ्किकायाः Vikr.1.16.","टाँकी, कुल्हाड़ी"
प्रमार्जन,pramaarjana,masculine,"प्रमार्जनम् [pramārjanam], Wiping off, rubbing or washing off.","मिटा देना, रगड़ देना, धो देना"
पुड्,pud,unknown,"पुड् [puḍ], 6 P.","छोड़ना, त्याग देना, तिलांजलि दे देना"
दृढ,dridha,adjective,"दृढ [dṛḍha], a. [दृंह्-क्त नि˚ नलोपः]","स्थिर, दृढ़, मज़बूत, अचल, अथक"
किरीट,kiriita,masculine,"किरीटः [kirīṭḥ] टम् [ṭam], टम् [कॄ-किटन्; Uṇ.4.184]","मुकुट, ताज, चूड़ा, शिरोवेष्टन"
अवलग्न,avalagna,adjective,"अवलग्न [avalagna], a.","चिपका हुआ, लगा हुआ, सटा हुआ ।"
नाशक,naashaka,adjective,"नाशक [nāśaka], a. [नश्-णिच्-ण्वुल्] Destructive, destroying.","विध्वंसक, नाश करने वाला"
हलीन,haliina,masculine,"हलीनः [halīnḥ], The teak tree.",सागौन का पेड़
जिघांसा,jighaamsaa,feminine,"जिघांसा [jighāṃsā], Desire of killing; R.15.19.",मार डालने की इच्छा
पिलु,pilu,masculine,"पिलुः [piluḥ], पीलु (पीलुः [pīluḥ], [पील्-उ]).",बाण
अद्मर,admara,adjective,"अद्मर [admara], a. [अत्तुं शीलमस्य; अद्-कर्तरि क्मरच्] Voracious, gluttonous.","बहुत अधिक खानेवाला, पेटू"
विमार्ग,vimaarga,masculine,"विमार्गः [vimārgḥ], 1 A bad road.",खराब सड़क
विमल,vimala,adjective,"विमल [vimala], a.","पवित्र, निर्मल, मलरहित, स्वच्छ"
मण्,man,unknown,"मण् [maṇ], 1 P. (मणति) To sound, murmur.","बजाना, गुनगुनाना"
कनन,kanana,adjective,"कनन [kanana], a. One-eyed; cf. काण.",एक आँख का
अविहा,avihaa,adjective,"अविहा [avihā], ind. Alas! Ś.6.",हन्त! अहो!
अतिनौ,atinau,masculine,"अतिनौ [atinau] नु [nu], नु a. [अतिक्रान्तो नावम्] Disembarked, landed.","नाव से उतरा हुआ, नाव से भूमि पर आया हुआ"
केसराल,kesaraala,adjective,"केसराल [kēsarāla], a. Rich in filaments; Kāvyāl.5.2.34.","अयाल से समृद्ध, तन्तुबाहुल्य से युक्त"
प्रसवक,prasavaka,masculine,"प्रसवकः [prasavakḥ], The piyāla tree; Buchanania Latifolia (Mar. चारोळी).","पियाल वृक्ष, चिरौंजी का पेड़"
सूच्,suuch,unknown,"सूच् [sūc], 1 U. (सूचयति-ते, सूचित)",बीधना
पञ्चाशिका,panychaashikaa,feminine,"पञ्चाशिका [pañcāśikā], 1 A collection of fifty.",पचास श्लोकों का संग्रह अर्थात् ‘चौर’ पंचाशिका
विपणि,vipani,masculine,"विपणिः [vipaṇiḥ] णी [ṇī], णी f.","बाजार, मण्डी, हाट"
काष्ठा,kaashthaa,feminine,"काष्ठा [kāṣṭhā], 1 A quarter or region of the world, direction, region; काष्ठा (दिश) मुदीचीमिव तिग्मरश्मिः (दिदीपे) Ki.3.55; cf. also पर्वा तु काष्ठा तिमिरानुलिप्ता Avimārkam 2.12.","संसार का कोई भाग या प्रदेश दिशा, प्रदेश"
लिखन,likhana,masculine,"लिखनम् [likhanam], [लिख्-भावादौ ल्युट्]","लिखना, अन्तरंकण"
उपगिरि,upagiri,indeclinable,"उपगिरि [upagiri] रम् [ram], रम् ind. [गिरेश्च सेनकस्य P.V.4.112] Near a mountain. -रिः N. of a country situated near a mountain in the north.",पहाड़ के निकट
पल्लवित,pallavita,adjective,"पल्लवित [pallavita], a.","अंकुरित होने वाला, नई २ कोंपलों से युक्त"
प्रगुणित,pragunita,adjective,"प्रगुणित [praguṇita], a. Made even or straight.",सीधा या समतल किया हुआ
सुषवी,sushavii,feminine,"सुषवी [suṣavī], 1 A sort of gourd.",एक प्रकार की लौकी
जल्प्,jalp,unknown,"जल्प् [jalp], 1 P. (जल्पति, जल्पित)","बोलना, बातें करना, संलाप करना"
प्रस्रंसिन्,prasramsin,adjective,"प्रस्रंसिन् [prasraṃsin], a. Miscarrying; Suśr.","समय से पूर्व गिर जाने वाला, कच्चा गिरना"
अनपेक्ष,anapeksha,adjective,"अनपेक्ष [anapēkṣa] क्षिन् [kṣin], क्षिन् a. [न. त.]",असावधान
अनुद्धत,anuddhata,adjective,"अनुद्धत [anuddhata], a. Not raised or puffed up; ˚ताः सत्पुरुषाः समृद्धिभिः Ś.5.12; humble; modest; unsurpassed.",जो अहंकारी या गर्वयुक्त न हो
वाक्य,vaakya,masculine,"वाक्यम् [vākyam], [वच्-ण्यत् चस्य कः]","वक्तृता, वचन, वक्तव्य, उक्ति, कथन"
जरायु,jaraayu,masculine,"जरायु [jarāyu], n. [जरामेति इ-ञुण्]",साँप की केंचुली
प्ररोचन,prarochana,masculine,"प्ररोचन [prarōcana], a. Exciting or enticing.","उत्तेजना, उद्दीपन"
प्रत्युन्नमन,pratyunnamana,masculine,"प्रत्युन्नमनम् [pratyunnamanam], Rising or springing up again, rebounding.","पुनः उठना, फिर उछलना, पलटा खाकर आना"
